,dataset,metric,sac_sub_0.005,sac,sac_sub_0.015,
0,svhn,std_acc,95.06,95.12,95.03,0.05
1,svhn,rob_acc,88.48,88.46,88.52,0.03
2,svhn,mts_acc,88.83,88.81,89.03,0.12
3,svhn,mean,90.79,90.8,90.86,0.04
4,svhn,duration,21.42,34.49,44.66,11.65
5,cifar10,std_acc,90.59,89.91,90.49,0.37
6,cifar10,rob_acc,68.63,68.94,69.03,0.21
7,cifar10,mts_acc,71,71.59,71.49,0.32
8,cifar10,mean,76.74,76.81,77,0.13
9,cifar10,duration,56.83,72.24,83.44,13.36
10,gtsrb,std_acc,96.94,97.01,96.68,0.17
11,gtsrb,rob_acc,90.69,90.22,89.89,0.4
12,gtsrb,mts_acc,91.25,91.02,90.77,0.24
13,gtsrb,mean,92.96,92.75,92.45,0.26
14,gtsrb,duration,31.28,45.82,59.47,14.1
15,fashion_mnist,std_acc,93.34,93.39,93.34,0.03
16,fashion_mnist,rob_acc,84.85,85.27,85.21,0.23
17,fashion_mnist,mts_acc,86.9,87.33,87.19,0.22
18,fashion_mnist,mean,88.36,88.66,88.58,0.16
19,fashion_mnist,duration,27.96,43.09,58.16,15.1
